id,itemName,venue_id,sub_venue_id,serviceCategory_id,feeRules,guestMin,guestMax,includedInVenue,visibleInCalculator,vendor_id,active,service_id,description
1,Corkage Fee - Spirit,39.0,,1.0,"{""type"":""fixed"",""price"":150000,""currency"":""IDR""}",1.0,150.0,False,True,5.0,True,35.0,
2,Corkage Fee - Wine,39.0,,1.0,"{""type"":""fixed"",""price"":100000,""currency"":""IDR""}",1.0,150.0,False,True,5.0,True,35.0,
3,Bar Service Only,39.0,,1.0,"{""type"":""fixed"",""price"":10000000,""currency"":""IDR""}",25.0,150.0,False,True,5.0,True,35.0,
4,Kids Menu,39.0,,1.0,"{""type"":""per_guest"",""price"":250000,""currency"":""IDR""}",1.0,150.0,False,True,5.0,True,36.0,
5,Beverage Premium,39.0,,1.0,"{""type"":""per_guest"",""price"":1500000,""currency"":""IDR""}",25.0,150.0,False,True,5.0,True,34.0,
6,Family Style,39.0,,1.0,"{""type"":""per_guest"",""price"":650000,""currency"":""IDR""}",50.0,150.0,False,True,5.0,True,32.0,
7,ABC Platinum Package,39.0,,1.0,"{""type"":""per_guest"",""price"":1350000,""currency"":""IDR""}",50.0,150.0,False,True,5.0,True,32.0,
8,ABC Gold Package,39.0,,1.0,"{""type"":""per_guest"",""price"":1250000,""currency"":""IDR""}",50.0,150.0,False,True,5.0,True,32.0,
9,ABC Silver Package,39.0,,1.0,"{""type"":""per_guest"",""price"":950000,""currency"":""IDR""}",50.0,150.0,False,True,5.0,True,32.0,
10,ABC Amazing Package,39.0,,1.0,"{""type"":""per_guest"",""price"":650000,""currency"":""IDR""}",50.0,150.0,False,True,5.0,True,32.0,
11,ABC Special Package 4,39.0,,1.0,"{""type"":""per_guest"",""price"":1500000,""currency"":""IDR""}",50.0,150.0,False,True,5.0,True,32.0,"4 Courses +4 types of canape + 6 hours non alcohol, beer,
4 Cocktails,Wine(during dinner)"
12,ABC Special Package 3,39.0,,1.0,"{""type"":""per_guest"",""price"":1400000,""currency"":""IDR""}",50.0,150.0,False,True,5.0,True,32.0,"4 Courses +4 types of canape + 6 hours non alcohol, beer,4 Cocktails"
13,ABC Special Package 2,39.0,,1.0,"{""type"":""per_guest"",""price"":1100000,""currency"":""IDR""}",50.0,150.0,False,True,5.0,True,32.0,3 Courses +4 types of canape+ 6 hours non alcoholic drinks
14,ABC Special Package 1,39.0,,1.0,"{""type"":""per_guest"",""price"":800000,""currency"":""IDR""}",50.0,150.0,False,True,5.0,True,32.0,3 Courses +4 types of canape+ 6 hours non alcoholic drinks
15,Set Menu - 5 Courses,39.0,,1.0,"{""type"":""per_guest"",""price"":800000,""currency"":""IDR""}",25.0,150.0,False,True,5.0,True,31.0,
16,Set Menu - 4 Courses,39.0,,1.0,"{""type"":""per_guest"",""price"":700000,""currency"":""IDR""}",25.0,150.0,False,True,5.0,True,31.0,
17,Set Menu - 3 Courses,39.0,,1.0,"{""type"":""per_guest"",""price"":650000,""currency"":""IDR""}",25.0,150.0,False,True,5.0,True,31.0,
18,Stand Up Cocktail,39.0,,1.0,"{""type"":""per_guest"",""price"":600000,""currency"":""IDR""}",30.0,150.0,False,True,5.0,True,30.0,
19,Canape Package - Option 3,39.0,,1.0,"{""type"":""fixed"",""price"":200000,""currency"":""IDR""}",25.0,150.0,False,True,5.0,True,29.0,
20,Canape Package - Option 2,39.0,,1.0,"{""type"":""per_guest"",""price"":120000,""currency"":""IDR""}",25.0,150.0,False,True,5.0,True,29.0,
21,Canape Package - Option 1,39.0,,1.0,"{""type"":""per_guest"",""price"":100000,""currency"":""IDR""}",25.0,150.0,False,True,5.0,True,29.0,
22,Beverage Option 4,39.0,,1.0,"{""type"":""per_guest"",""price"":150000,""currency"":""IDR""}",25.0,150.0,False,True,5.0,True,35.0,
23,Beverage Option 3,39.0,,1.0,"{""type"":""per_guest"",""price"":450000,""currency"":""IDR""}",25.0,150.0,False,True,5.0,True,35.0,
24,Beverage Option 2,39.0,,1.0,"{""type"":""per_guest"",""price"":700000,""currency"":""IDR""}",25.0,150.0,False,True,5.0,True,35.0,
25,Beverage Option 1,39.0,,1.0,"{""type"":""per_guest"",""price"":800000,""currency"":""IDR""}",25.0,150.0,False,True,5.0,True,35.0,
26,Beverage Premium,39.0,,1.0,"{""type"":""per_guest"",""price"":1500000,""currency"":""IDR""}",25.0,150.0,False,True,5.0,True,35.0,
27,BBQ Buffet,39.0,,1.0,"{""type"":""per_guest"",""price"":800000,""currency"":""IDR""}",45.0,150.0,False,True,5.0,True,33.0,
28,Italian Buffet,39.0,,1.0,"{""type"":""per_guest"",""price"":675000,""currency"":""IDR""}",45.0,150.0,False,True,5.0,True,33.0,
29,Western Buffet,39.0,,1.0,"{""type"":""per_guest"", ""price"":675000, ""currency"":""IDR"", ""taxInfo"":{""rate"":0.21, ""included"":false}}",45.0,150.0,False,True,5.0,True,33.0,
30,Asian Buffet,39.0,,1.0,"{""type"":""per_guest"",""price"":650000,""currency"":""IDR""}",45.0,150.0,False,True,5.0,True,33.0,
31,Balinese Buffet,39.0,,1.0,"{""type"":""per_guest"",""price"":600000,""currency"":""IDR""}",45.0,150.0,False,True,5.0,True,33.0,
32,Indonesian Buffet,39.0,,1.0,"{""type"":""per_guest"",""price"":550000,""currency"":""IDR""}",45.0,150.0,False,True,5.0,True,33.0,
33,PCE - Entire Estate,39.0,3.0,2.0,"{""minStay"":[{""nights"":2,""upToGuests"":100},{""nights"":3,""upToGuests"":250}],""taxInfo"":{""rate"":0.155,""included"":true},""eventFee"":[{""weekday"":6183,""weekend"":6813,""upToGuests"":250}],""banjarFee"":{""tiers"":[{""value"":6000000,""currency"":""IDR"",""upToGuests"":50},{""value"":8000000,""currency"":""IDR"",""upToGuests"":100},{""value"":9000000,""currency"":""IDR"",""upToGuests"":200},{""value"":14000000,""currency"":""IDR"",""upToGuests"":250}]},""accommodationRate"":{""low"":8320,""high"":10122}}",100.0,250.0,True,True,,True,,
