id,itemName,venue_id,description
49,Wedding organiser fee,,
50,Tea ceremony,,
51,Make up and hair do,,
52,Make up and hair do (up to 8 hours),,
53,Trial make up and hair do,,
54,Make up and hair do (no retouch),,
55,Make up and hair do (with retouch),,
56,Make up and hair do for bridesmaid or family,,
57,Three,,
58,Five,,
59,Eight,,
60,Six,,
61,Eight,,
62,Twelve,,
63,Extra hour for Pre-wedding and Engagement,,
64,Extra hour for Wedding photography,,
65,Photobooth for 4 hours,,
66,Photobooth for 6 hours,,
67,Unlimited Prints,,
68,Three,,
