id,seasonName,seasonType,seasonStartDate,seasonEndDate,venue_id,min_nights,active
,,high,1/1/2025,1/5/2025,5,,
,,high,1/28/2025,2/2/2025,5,,
,,blackout,3/28/2025,3/30/2025,5,,
,,high,3/31/2025,4/6/2025,5,,
,,high,4/29/2025,5/6/2025,5,,
,,auspicious,5/20/2025,5/20/2025,5,,
,,auspicious,5/25/2025,5/25/2025,5,,
,,high,8/1/2025,8/31/2025,5,,
,,high,10/1/2025,10/7/2025,5,,
,,blackout,12/24/2025,1/2/2026,5,,
,,high,4/1/2025,10/31/2025,39,,
,,low,11/1/2025,3/31/2026,39,,
,,high,4/1/2026,7/31/2026,39,,
,,high,6/1/2025,2/2/2026,43,3,
