id,serviceName
1,Pre-wedding and Engagement
2,Wedding
3,Wedding photography
4,Add-ons
5,Photobooth options
6,Wedding videography
7,Entertainment for ceremony
8,Entertainment for reception
9,Dances and shows
10,Fireworks
11,Other entertainment
12,Celebrant
13,Legal arrangements
14,Romantic dinners for two
15,Wedding cakes
16,Standard transportation
17,Premium transportation
18,Mercedes C200
19,Classic Car
20,Sound system and light
21,Multimedia
22,Stages
23,Tents
24,Furniture
25,Other add-ons
26,Wedding organizer fee
27,Full Wedding Package
28,Venue Rental Package
29,Canape
30,Cocktail
31,Set Menu
32,Special Package
33,Buffet
34,Family Style
35,Beverage
36,Kids Menu
